Tgl Struk,Qty
2021-09-14,1
2021-09-14,2
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-14,1
2021-09-15,1
2021-09-15,2
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,2
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,2
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,2
2021-09-15,2
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,1
2021-09-15,2
2021-09-15,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,2
2021-09-16,2
2021-09-16,2
2021-09-16,2
2021-09-16,2
2021-09-16,1
2021-09-16,1
2021-09-16,2
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-16,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,2
2021-09-17,1
2021-09-17,2
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,2
2021-09-17,1
2021-09-17,1
2021-09-17,1
2021-09-17,2
2021-09-17,1
2021-09-17,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,2
2021-09-18,1
2021-09-18,1
2021-09-18,2
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,2
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-18,1
2021-09-19,1
2021-09-19,4
2021-09-19,2
2021-09-19,4
2021-09-19,2
2021-09-19,2
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
